farm_id,date_time,radiation,surface_pressure,humidity2,temperature2,temperature10,temperature30,temperature50,temperature70,temperature80,temperature90,temperature110,direction10,direction30,direction50,direction70,direction80,direction90,direction110,speed10,speed30,speed50,speed70,speed80,speed90,speed110
W001PADINGLIANGZI,2021-01-02_06:00:00,0.0,871.1344,95.8498,8.3895,8.1594,8.0025,7.9295,7.8815,7.8625,7.8439,7.8203,138.3266,149.7277,156.5049,162.2217,164.4907,167.7545,173.4786,0.5617,0.8008,0.9275,1.0244,1.0628,1.096,1.148
W001PADINGLIANGZI,2021-01-02_06:15:00,0.0,871.1775,95.9793,8.3483,8.1179,7.9608,7.8879,7.8399,7.8207,7.8022,7.7785,138.2507,149.5252,156.3227,162.1203,164.4213,167.7121,173.4878,0.5539,0.7806,0.9018,0.995,1.0321,1.0655,1.1185
W001PADINGLIANGZI,2021-01-02_06:30:00,0.0,871.2273,96.1097,8.3114,8.0808,7.9236,7.8506,7.8025,7.7834,7.7649,7.7412,138.1611,149.3149,156.1274,161.9952,164.324,167.659,173.5165,0.5483,0.7625,0.8779,0.9671,1.0026,1.0363,1.0903
W001PADINGLIANGZI,2021-01-02_06:45:00,0.0,871.2772,96.2345,8.2742,8.0435,7.8863,7.8132,7.7651,7.7458,7.7275,7.7036,138.1115,149.0734,155.8474,161.7331,164.069,167.4696,173.4471,0.5447,0.7464,0.8556,0.9406,0.9743,1.0082,1.0633
W001PADINGLIANGZI,2021-01-02_07:00:00,0.0,871.3282,96.1932,8.284,8.0527,7.8952,7.8219,7.7737,7.7544,7.736,7.7122,138.5761,149.2996,155.9755,161.8072,164.1215,167.6237,173.7866,0.5432,0.7321,0.8349,0.9154,0.9474,0.9816,1.0376
W001PADINGLIANGZI,2021-01-02_07:15:00,0.0,871.3802,95.9932,8.3407,8.1085,7.9503,7.8766,7.8283,7.8088,7.7905,7.7665,139.6176,150.0255,156.5457,162.2673,164.5379,168.1539,174.5202,0.5436,0.7195,0.8159,0.8918,0.9218,0.9562,1.013
W001PADINGLIANGZI,2021-01-02_07:30:00,0.0,871.4332,95.6417,8.4444,8.2106,8.0515,7.9774,7.9286,7.9091,7.8907,7.8668,141.2877,151.2815,157.5929,163.1633,165.3739,169.0908,175.6295,0.5454,0.7092,0.7994,0.8706,0.8989,0.9331,0.9903
W001PADINGLIANGZI,2021-01-02_07:45:00,0.0,871.4872,95.145,8.5948,8.3593,8.1987,8.124,8.0748,8.0552,8.0368,8.0127,143.6685,153.1304,159.1791,164.5636,166.7005,170.4809,177.1237,0.5484,0.7009,0.7853,0.8521,0.8786,0.9124,0.9695
W001PADINGLIANGZI,2021-01-02_08:00:00,0.0,871.5422,94.5039,8.7928,8.5551,8.3929,8.3175,8.2678,8.2481,8.2296,8.2053,146.8182,155.6625,161.4131,166.5918,168.6471,172.4314,179.0739,0.5525,0.6947,0.7736,0.8361,0.8609,0.8941,0.9505
W001PADINGLIANGZI,2021-01-02_08:15:00,11.7163,871.5983,93.7205,9.0387,8.7983,8.6343,8.558,8.5078,8.4878,8.4694,8.4445,150.7281,158.8833,164.3042,169.2579,171.2239,174.9348,181.4434,0.5577,0.6905,0.7642,0.8228,0.846,0.8782,0.9333
W001PADINGLIANGZI,2021-01-02_08:30:00,34.2623,871.6555,92.7941,9.3329,9.0893,8.9232,8.8458,8.795,8.7747,8.7563,8.7305,155.3765,162.7917,167.8555,172.563,174.4313,177.9797,184.1995,0.5639,0.6883,0.7572,0.8121,0.8338,0.8648,0.9181
W001PADINGLIANGZI,2021-01-02_08:45:00,71.5003,871.7137,91.7218,9.6758,9.4284,9.2597,9.1812,9.1295,9.1089,9.0905,9.0638,160.7025,167.3762,172.0675,176.5062,178.2677,181.5598,187.3605,0.5711,0.6878,0.7525,0.8039,0.8243,0.8538,0.9047
W001PADINGLIANGZI,2021-01-02_09:00:00,120.8253,871.7729,90.4986,10.0674,9.8158,9.6444,9.5645,9.512,9.4911,9.4727,9.445,166.6229,172.6161,176.9335,181.0771,182.7215,185.6664,190.9009,0.5793,0.6891,0.7499,0.7981,0.8171,0.845,0.8932
W001PADINGLIANGZI,2021-01-02_09:15:00,180.043,871.8331,89.1175,10.508,10.252,10.0775,9.9962,9.9428,9.9215,9.9031,9.8745,173.0542,178.4936,182.4485,186.2638,187.778,190.2959,194.8305,0.5883,0.692,0.7492,0.7944,0.8123,0.8382,0.8832
W001PADINGLIANGZI,2021-01-02_09:30:00,240.0443,871.8943,87.5709,10.998,10.7373,10.5594,10.4765,10.4222,10.4005,10.3821,10.3527,179.9004,184.9755,188.5891,192.0339,193.401,195.4306,199.1607,0.6008,0.6997,0.7539,0.7966,0.8134,0.8376,0.8796
W001PADINGLIANGZI,2021-01-02_09:45:00,297.183,871.9555,86.0144,11.4903,11.2249,11.0436,10.9594,10.904,10.8819,10.8635,10.8335,186.5869,191.5091,194.8198,197.8684,199.0783,200.5647,203.3929,0.6171,0.7123,0.7643,0.8048,0.8209,0.8433,0.8827
W001PADINGLIANGZI,2021-01-02_10:00:00,348.0843,871.9989,84.4578,11.9801,11.7104,11.5261,11.4405,11.3842,11.3617,11.3434,11.3125,192.9196,197.7256,200.7805,203.4894,204.5645,205.5027,207.4229,0.6372,0.73,0.7803,0.8191,0.8345,0.8554,0.8924
W001PADINGLIANGZI,2021-01-02_10:15:00,397.2987,872.0246,82.8925,12.4681,12.1944,12.0074,11.9205,11.8634,11.8405,11.8223,11.7907,198.7833,203.5512,206.4059,208.8276,209.7888,210.1912,211.2287,0.6611,0.7528,0.8019,0.8394,0.8544,0.8741,0.9089
W001PADINGLIANGZI,2021-01-02_10:30:00,444.4407,872.0326,81.3111,12.9546,12.6773,12.4878,12.3998,12.342,12.3188,12.3005,12.2684,204.1017,208.9276,211.6395,213.823,214.6895,214.5879,214.8012,0.6869,0.779,0.8279,0.8649,0.8797,0.8983,0.9314
